platform	subject	trial	choice	accuracy
mturk	0k1tzkzdb7dvx6z9q0nyovde	24	0.999	0.999
mturk	0k1tzkzdb7dvx6z9q0nyovde	25	0.967	0.967
mturk	0k1tzkzdb7dvx6z9q0nyovde	26	1.0	1.0
mturk	0k1tzkzdb7dvx6z9q0nyovde	27	0.962	0.962
mturk	0k1tzkzdb7dvx6z9q0nyovde	28	0.999	0.999
mturk	0k1tzkzdb7dvx6z9q0nyovde	29	0.999	0.999
mturk	0k1tzkzdb7dvx6z9q0nyovde	30	0.9985	0.9985
mturk	0k1tzkzdb7dvx6z9q0nyovde	31	0.9995	0.0
mturk	0k1tzkzdb7dvx6z9q0nyovde	32	0.98	0.01
mturk	0k1tzkzdb7dvx6z9q0nyovde	33	0.7145	0.1565
mturk	0k1tzkzdb7dvx6z9q0nyovde	34	0.318	0.3455
mturk	0k1tzkzdb7dvx6z9q0nyovde	35	0.177	0.3955
mturk	0k1tzkzdb7dvx6z9q0nyovde	36	0.4335	0.4335
mturk	0k1tzkzdb7dvx6z9q0nyovde	37	0.999	0.999
mturk	0k1tzkzdb7dvx6z9q0nyovde	38	1.0	1.0
mturk	0k1tzkzdb7dvx6z9q0nyovde	39	0.999	0.999
mturk	0k1tzkzdb7dvx6z9q0nyovde	40	0.9995	0.9995
mturk	0k1tzkzdb7dvx6z9q0nyovde	41	1.0	1.0
mturk	0k1tzkzdb7dvx6z9q0nyovde	42	0.9995	0.9995
mturk	0k1tzkzdb7dvx6z9q0nyovde	43	0.9995	0.9995
mturk	0k1tzkzdb7dvx6z9q0nyovde	44	0.977	0.977
mturk	0k1tzkzdb7dvx6z9q0nyovde	45	0.9985	0.9985
mturk	0k1tzkzdb7dvx6z9q0nyovde	46	1.0	0.0
mturk	0k1tzkzdb7dvx6z9q0nyovde	47	0.978	0.006
mturk	0k1tzkzdb7dvx6z9q0nyovde	48	1.0	0.0
mturk	0k1tzkzdb7dvx6z9q0nyovde	49	1.0	0.0
mturk	0k1tzkzdb7dvx6z9q0nyovde	50	0.973	0.008
mturk	0k1tzkzdb7dvx6z9q0nyovde	51	0.0595	0.0595
mturk	0k1tzkzdb7dvx6z9q0nyovde	52	0.993	0.993
mturk	0k1tzkzdb7dvx6z9q0nyovde	53	0.8605	0.8605
mturk	0k1tzkzdb7dvx6z9q0nyovde	54	0.9965	0.9965
mturk	0k1tzkzdb7dvx6z9q0nyovde	55	0.894	0.894
mturk	0k1tzkzdb7dvx6z9q0nyovde	56	0.996	0.996
mturk	0k1tzkzdb7dvx6z9q0nyovde	57	0.999	0.999
mturk	0k1tzkzdb7dvx6z9q0nyovde	58	0.9985	0.9985
mturk	0k1tzkzdb7dvx6z9q0nyovde	59	0.938	0.938
mturk	0k1tzkzdb7dvx6z9q0nyovde	60	0.9995	0.9995
mturk	0k1tzkzdb7dvx6z9q0nyovde	61	0.999	0.0005
mturk	0k1tzkzdb7dvx6z9q0nyovde	62	0.9255	0.0185
mturk	0k1tzkzdb7dvx6z9q0nyovde	63	0.457	0.0945
mturk	0k1tzkzdb7dvx6z9q0nyovde	64	0.6965	0.1545
mturk	0k1tzkzdb7dvx6z9q0nyovde	65	0.9995	0.0
mturk	0k1tzkzdb7dvx6z9q0nyovde	66	0.945	0.0305
mturk	0k1tzkzdb7dvx6z9q0nyovde	67	0.664	0.1875
mturk	0k1tzkzdb7dvx6z9q0nyovde	68	0.3695	0.3695
mturk	0k1tzkzdb7dvx6z9q0nyovde	69	0.999	0.999
mturk	0k1tzkzdb7dvx6z9q0nyovde	70	0.999	0.999
mturk	0k1tzkzdb7dvx6z9q0nyovde	71	0.998	0.998
mturk	0k1tzkzdb7dvx6z9q0nyovde	72	1.0	1.0
mturk	0k1tzkzdb7dvx6z9q0nyovde	73	0.971	0.971
mturk	0k1tzkzdb7dvx6z9q0nyovde	74	0.729	0.729
mturk	0k1tzkzdb7dvx6z9q0nyovde	75	0.3155	0.335
mturk	0k1tzkzdb7dvx6z9q0nyovde	76	0.423	0.152
mturk	0k1tzkzdb7dvx6z9q0nyovde	77	0.2225	0.2225
mturk	0k1tzkzdb7dvx6z9q0nyovde	78	0.9995	0.9995
mturk	0k1tzkzdb7dvx6z9q0nyovde	79	0.9995	0.9995
mturk	0k1tzkzdb7dvx6z9q0nyovde	80	0.971	0.971
mturk	0k1tzkzdb7dvx6z9q0nyovde	81	1.0	1.0
mturk	0k1tzkzdb7dvx6z9q0nyovde	82	0.9985	0.9985
mturk	0k1tzkzdb7dvx6z9q0nyovde	83	0.9755	0.9755
