platform,subject,block,trial,correct,choice,key,rt,accuracy,outcome
mturk,0g4fx9g2wryeio74yzgqwpq8,1,5,2,2.0,39.0,0.292,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,1,6,2,1.0,38.0,0.245,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,1,7,2,2.0,39.0,0.085,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,1,8,2,2.0,39.0,0.3,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,1,9,2,0.0,37.0,0.11,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,1,10,2,2.0,39.0,0.02,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,1,11,2,2.0,39.0,0.3,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,1,12,2,2.0,39.0,0.525,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,1,13,2,2.0,39.0,0.309,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,1,14,2,1.0,38.0,0.158,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,1,15,2,2.0,39.0,0.044,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,16,0,2.0,39.0,0.309,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,17,0,0.0,37.0,0.253,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,18,0,0.0,37.0,0.093,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,19,0,0.0,37.0,0.309,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,20,0,0.0,37.0,0.365,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,21,0,0.0,37.0,0.364,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,22,0,2.0,39.0,0.309,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,23,0,0.0,37.0,0.11,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,24,0,1.0,38.0,0.005,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,25,0,0.0,37.0,0.323,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,26,0,0.0,37.0,0.284,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,27,0,0.0,37.0,0.317,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,28,0,0.0,37.0,0.364,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,29,0,2.0,39.0,0.349,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,30,0,1.0,38.0,0.396,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,31,1,0.0,37.0,0.105,0.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,32,1,0.0,37.0,0.193,0.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,33,1,0.0,37.0,0.182,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,34,1,0.0,37.0,0.278,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,35,1,1.0,38.0,0.014,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,36,1,1.0,38.0,0.277,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,37,1,1.0,38.0,0.278,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,38,1,1.0,38.0,0.277,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,39,1,1.0,38.0,0.237,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,40,1,1.0,38.0,0.244,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,41,1,1.0,38.0,0.269,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,42,1,1.0,38.0,0.134,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,43,1,1.0,38.0,0.325,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,44,1,1.0,38.0,0.205,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,45,1,1.0,38.0,0.126,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,46,2,1.0,38.0,0.292,0.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,47,2,1.0,38.0,0.213,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,48,2,1.0,38.0,0.245,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,49,2,2.0,39.0,0.035,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,50,2,2.0,39.0,0.158,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,51,2,2.0,39.0,0.149,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,52,2,2.0,39.0,0.26,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,53,2,2.0,39.0,0.214,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,54,2,2.0,39.0,0.292,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,55,2,2.0,39.0,0.237,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,56,2,2.0,39.0,0.165,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,57,2,2.0,39.0,0.22,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,58,2,2.0,39.0,0.054,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,59,2,2.0,39.0,0.172,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,60,2,2.0,39.0,0.124,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,5,61,0,2.0,39.0,0.062,0.0,1.0
